2019/03/01 14:56:08.155 [I]  Download blogs/built/assets/icons/email.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/email.svg success 0.41KB/s
2019/03/01 14:56:08.155 [I]  Downloading blogs/built/assets/icons/laptop.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/laptop.svg
2019/03/01 14:56:08.155 [I]  Download blogs/built/assets/icons/box-hands.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/box-hands.svg success 1.98KB/s
2019/03/01 14:56:08.155 [I]  Downloading blogs/built/assets/icons/line.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/line.svg
2019/03/01 14:56:08.154 [I]  Download blogs/built/assets/icons/boxes.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/boxes.svg success 1.36KB/s
2019/03/01 14:56:08.156 [I]  Downloading blogs/built/assets/icons/link.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/link.svg
2019/03/01 14:56:08.156 [I]  Download blogs/built/assets/icons/github-outline.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/github-outline.svg success 2.03KB/s
2019/03/01 14:56:08.156 [I]  Downloading blogs/built/assets/icons/list-bullet.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/list-bullet.svg
2019/03/01 14:56:08.156 [I]  Download blogs/built/assets/icons/check-circle.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/check-circle.svg success 0.61KB/s
2019/03/01 14:56:08.157 [I]  Downloading blogs/built/assets/icons/list-number.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/list-number.svg
2019/03/01 14:56:08.157 [I]  Download blogs/built/assets/icons/close.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/close.svg success 0.26KB/s
2019/03/01 14:56:08.158 [I]  Downloading blogs/built/assets/icons/lock.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/lock.svg
2019/03/01 14:56:08.157 [I]  Download ajax.js => /Users/acgpiano/github/imgcdn/qiniu/ajax.js success 0.20KB/s
2019/03/01 14:56:08.158 [I]  Download blogs/built/assets/icons/arrow2-right.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/arrow2-right.svg success 1.03KB/s
2019/03/01 14:56:08.158 [I]  Downloading blogs/built/assets/icons/loop-infinite.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/loop-infinite.svg
2019/03/01 14:56:08.158 [I]  Downloading blogs/built/assets/icons/lock2.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/lock2.svg
2019/03/01 14:56:08.159 [I]  Download blogs/built/assets/icons/add.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/add.svg success 0.45KB/s
2019/03/01 14:56:08.159 [I]  Downloading blogs/built/assets/icons/lotus.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/lotus.svg
2019/03/01 14:56:08.161 [I]  Download blogs/built/assets/icons/arrow-right.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/arrow-right.svg success 0.79KB/s
2019/03/01 14:56:08.161 [I]  Downloading blogs/built/assets/icons/markdown.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/markdown.svg
2019/03/01 14:56:08.163 [I]  Download blogs/built/assets/icons/arrow-down-small.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/arrow-down-small.svg success 0.70KB/s
